reference,name,description,countries,categories,date-type,event-date,date-rule,first-date,organisation,url,hashtags,audience-types,notes
eid-al-fitr,Eid al-Fitr,"Muslim festival marking the end of Ramadan, traditionally involves giving gifts and charity.",UK;Global,Religion;Culture;Holiday,dynamic,,1st day of Shawwal (Islamic lunar calendar),7th Century,Muslim communities,https://en.wikipedia.org/wiki/Eid_al-Fitr,#EidMubarak;#Eid,Muslim Community;General Public,"Common to give Eidi (money or gifts) to children."
chinese-new-year,Chinese New Year,"Marks the start of the lunar new year, celebrated with gifts, red envelopes, and family gatherings.",Global;China;UK,Culture;Holiday;Festivals,dynamic,,Varies by lunar calendar (January-February),Ancient China,Various,https://en.wikipedia.org/wiki/Chinese_New_Year,#ChineseNewYear;#LunarNewYear,Chinese Community;General Public,"Also known as Lunar New Year. Red envelopes with money are common gifts."
boxing-day,Boxing Day,"The day after Christmas, traditionally associated with giving to those in need and modern-day shopping/gift exchanges.",UK;Commonwealth,Culture;Holiday;Shopping,fixed,12-26,,Victorian era (UK),Various,https://en.wikipedia.org/wiki/Boxing_Day,#BoxingDay,General Public,"Now commonly a shopping day with sales and gift exchanges."
earth-day,Earth day,An event to demonstrate support for environmental protection,Global,Environmental,fixed,04-22,,1970,Earthday.org,https://www.earthday.org/,#EarthDay,,
design-day,Internation design day,An opportunity to recognise the value of design and its capacity to effect change.,Global,Design,fixed,04-27,,,International Council of Design,https://www.theicod.org/activities/international-design-day,#InternationalDesignDay,Designers;General Public,Used to be called World Design Day
international-womens-day,International Women's Day,"Celebrates women's achievements and advocates for gender equality.",Global,Equality;Celebration;Social,fixed,03-08,,1911 (formalised by UN in 1977),UN Women,https://www.un.org/en/observances/womens-day,#IWD2025;#EachForEqual,General Public;Campaigners,"Often accompanied by events, speeches, and gifts or recognition."
global-recycling-day,Global Recycling Day,"A global awareness day highlighting the importance of recycling and the role it plays in protecting the planet's future.",Global,Environmental;Awareness;Sustainability,fixed,03-18,,2018,Global Recycling Foundation,https://www.globalrecyclingday.com/,#GlobalRecyclingDay;#RecyclingHeroes,General Public;Schools;Campaigners,"Observed annually on March 18 to encourage better recycling habits and recognise recycling's environmental value."
world-mental-health-day,World Mental Health Day,"Raises awareness of mental health issues and promotes mental well-being.",Global,Mental Health;Awareness,fixed,10-10,,1992,World Federation for Mental Health,https://www.who.int/campaigns/world-mental-health-day,#WorldMentalHealthDay,General Public;Mental Health Advocates,"Focuses on specific themes each year."
international-coffee-day,International Coffee Day,"Celebrates coffee as a beverage and promotes fair trade coffee.",Global,Coffee;Culture;Fairness,fixed,10-01,,2015,International Coffee Organization,https://www.internationalcoffeeday.org/,#InternationalCoffeeDay;#Coffee,General Public;Coffee Enthusiasts,"Often includes promotions at coffee shops."
national-cookie-day,National Cookie Day,"Celebrates cookies and baking culture, often marked by giveaways and promotions from bakeries and food brands.",US,Food;Culture;Celebration,fixed,12-04,,1987,National Day Calendar,https://www.nationaldaycalendar.com/national-day/national-cookie-day-december-4,#NationalCookieDay;#CookieDay,General Public;Food Enthusiasts,"Often treated informally as a Cookie Appreciation Day. Observed annually on a fixed date."
us-independence-day,US Independence Day,"Commemorates the adoption of the Declaration of Independence in the United States, commonly celebrated with fireworks, parades, and community gatherings.",US,National;Culture;Holiday,fixed,07-04,,1776,United States,https://en.wikipedia.org/wiki/Independence_Day_(United_States),#IndependenceDay;#FourthOfJuly,General Public;Families,"Federal holiday in the United States, observed annually on July 4."
france-national-day,France National Day (Bastille Day),"France's national day commemorates the storming of the Bastille and is widely marked with military parades, fireworks, and public celebrations.",France,National;Culture;Holiday,fixed,07-14,,1880,France,https://www.france.fr/en/event/bastille-day-14-july,#BastilleDay;#14Juillet,General Public;Families,"France's national holiday on 14 July."
canada-day,Canada Day,"Canada's national day, observed with ceremonies, concerts, fireworks, and community events across the country.",Canada,National;Culture;Holiday,fixed,07-01,,1868,Government of Canada,https://www.canada.ca/en/services/culture/events-celebrations-commemorations/major-events-celebrations/canada-day.html,#CanadaDay,General Public;Families,"Celebrated on 1 July across Canada and by Canadians abroad."
india-independence-day,India Independence Day,"India's national day celebrating independence, marked nationwide with flag hoisting, speeches, and cultural events.",India,National;Culture;Holiday,fixed,08-15,,1947,Government of India,https://knowindia.india.gov.in/independence-day-celebration/,#IndependenceDay,General Public;Families,"Observed annually on 15 August."
mexico-independence-day,Mexico Independence Day,"Commemorates the start of Mexico's independence movement and is widely celebrated with civic ceremonies, the Grito, and public festivities.",Mexico,National;Culture;Holiday,fixed,09-16,,1810,Government of Mexico,https://www.gob.mx/defensa/documentos/15-de-septiembre-de-1810-grito-de-independencia,#IndependenciaDeMexico;#VivaMexico,General Public;Families,"Marks the anniversary of the Grito de Dolores and the start of the independence struggle."
german-unity-day,German Unity Day,"Germany's national day marking reunification, celebrated with official ceremonies and public festivities across the country.",Germany,National;Culture;Holiday,fixed,10-03,,1990,Federal Government of Germany,https://www.bundesregierung.de/breg-de/impressum/federal-chancellor-merz-on-germany-unity-day-2387338,#GermanUnityDay;#TagDerDeutschenEinheit,General Public;Families,"Observed annually on 3 October."
south-africa-freedom-day,Freedom Day (South Africa),"South Africa's national day commemorating the first democratic elections in 1994, observed with national reflection and celebration.",South Africa,National;Culture;Holiday,fixed,04-27,,1994,South African Government,https://www.gov.za/FreedomDay2026,#FreedomDay,General Public;Families,"Observed annually on 27 April."
holi,Holi,"Hindu festival of colors that celebrates spring, renewal, and the triumph of good over evil; often marked with colored powders, music, and shared sweets.",India;Nepal;Global,Religion;Culture;Holiday;Festivals,dynamic,,Full moon day (Purnima) of Phalguna (February-March),Ancient Hindu origins,Various,https://en.wikipedia.org/wiki/Holi,#Holi;#FestivalOfColors,General Public;Hindu Community,"Date varies yearly by the Hindu lunisolar calendar and is widely celebrated across South Asia and the diaspora."
world-afro-day,World Afro Day,"A global day celebrating Afro hair, culture, and identity while raising awareness of Afro hair discrimination.",Global,Equality;Culture;Identity;Awareness,fixed,09-15,,2017,World Afro Day,https://www.worldafroday.com/,#WorldAfroDay;#AfroDay,General Public;Schools;Employers,"Established on September 15, 2017, and led by the World Afro Day campaign."
world-environment-day,World Environment Day,"A global day that encourages awareness and action to protect the environment.",Global,Environmental;Awareness,fixed,06-05,,1973,United Nations Environment Programme,https://www.unep.org/events/un-day/world-environment-day,#WorldEnvironmentDay;#GenerationRestoration,General Public;Campaigners,"Led by UNEP and observed annually on June 5."
international-day-of-friendship,International Day of Friendship,"A global observance that promotes friendship between peoples, countries, cultures, and individuals as a way to inspire peace and build bridges between communities.",Global,Peace;Culture;Relationships;Awareness,fixed,07-30,,2011,United Nations,https://www.un.org/en/observances/friendship-day/,#DayOfFriendship;#InternationalDayOfFriendship,General Public;Young People;Communities,"Proclaimed by the UN General Assembly and observed annually on July 30."
international-kissing-day,International Kissing Day,"An informal global observance celebrating kissing as an expression of affection, connection, and intimacy.",Global,Relationships;Culture;Celebration,fixed,07-06,,2006,National Kissing Day,https://www.kissingday.com/,#InternationalKissingDay;#KissingDay,General Public;Couples,"Also known as World Kissing Day. Observed annually on July 6."
world-cancer-day,World Cancer Day,"A global awareness day focused on cancer prevention, detection, treatment, and equitable care.",Global,Health;Awareness;Cancer,fixed,02-04,,2000,Union for International Cancer Control (UICC),https://www.uicc.org/world-cancer-day,#WorldCancerDay,General Public;Patients;Healthcare Professionals,"Global observance held every year on 4 February."
mental-health-awareness-week-uk,Mental Health Awareness Week (UK),"A UK-wide campaign that brings people together each May to focus on mental health and reduce stigma.",UK,Health;Awareness;Mental Health,dynamic,,May (annual week set by Mental Health Foundation),2001,Mental Health Foundation,https://www.mentalhealth.org.uk/our-work/public-engagement/mental-health-awareness-week/about,#MentalHealthAwarenessWeek,General Public;Employers;Schools;Communities,"UK-focused awareness week. Different from the global World Mental Health Day on 10 October."
dementia-action-week-uk,Dementia Action Week (UK),"A UK awareness campaign encouraging action on dementia, with a strong focus on diagnosis and support.",UK,Health;Awareness;Dementia,dynamic,,May (annual week set by Alzheimer's Society),,Alzheimer's Society,https://www.alzheimers.org.uk/get-involved/dementia-action-week,#DementiaActionWeek,General Public;Carers;Families;Healthcare Professionals,"UK-focused campaign. Different from World Alzheimer's Day on 21 September."
diabetes-week-uk,Diabetes Week (UK),"A UK campaign that raises awareness of diabetes and highlights the priorities and experiences of people living with the condition.",UK,Health;Awareness;Diabetes,dynamic,,June (annual week set by Diabetes UK),,Diabetes UK,https://www.diabetes.org.uk/support-us/diabetes-week,#DiabetesWeek,General Public;Patients;Carers;Healthcare Professionals,"UK-focused awareness week. Different from the global World Diabetes Day on 14 November."
world-heart-day,World Heart Day,"A global awareness day that promotes heart health and action to reduce cardiovascular disease.",Global,Health;Awareness;Heart Health,fixed,09-29,,2000,World Heart Federation,https://world-heart-federation.org/world-heart-day/world-heart-day/,#WorldHeartDay,General Public;Patients;Healthcare Professionals,"Global observance held every year on 29 September."
world-alzheimers-day,World Alzheimer's Day,"A global awareness day that spotlights Alzheimer's disease and other dementias while challenging stigma.",Global,Health;Awareness;Dementia,fixed,09-21,,1994,Alzheimer's Disease International,https://www.alzint.org/get-involved/world-alzheimers-month/,#WorldAlzheimersDay;#WorldAlzheimersMonth,General Public;Carers;Families;Healthcare Professionals,"Global observance on 21 September. Distinct from the UK's Dementia Action Week."
world-diabetes-day,World Diabetes Day,"A global diabetes awareness day that brings together advocacy, education, and public health action.",Global,Health;Awareness;Diabetes,fixed,11-14,,1991,International Diabetes Federation,https://idf.org/what-we-do/diabetes-awareness-activities/,#WorldDiabetesDay,General Public;Patients;Healthcare Professionals,"Global observance marked every year on 14 November."
